smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,5,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0.0649,0.113,0.1124,0.1467,1.0395999999999999,0.27049999999999996,0.18289999999999995,0.8207,0.6463,0.8646,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.0164,0.14200000000000002,0.1142,0.10060000000000001,0.1386,0.1572,0.11740000000000002,0.1304,0.12279999999999998,0.11989999999999999,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.021722999999819997,0.01358899999991,0.02134800000022,0.024013000000440002,0.02141800000003,0.03074000000015,0.030218999999990004,0.030261000000100003,0.02623100000003,0.029283999999960002,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_tl,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
syrupcorrect,0,3,9,9,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,3,2,5,5,8,9,9,8,9,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,3,2,5,5,8,9,9,8,9,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,6,7,5,5,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0
syruptime,0,0.0089,0.020000000000000004,0.0487,0.0794,0.05569999999999999,0.3318,0.1261,0.4809,1.4933,0.6481,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.0595,0.1955,0.1814,0.2685,0.2549,0.27480000000000004,0.20559999999999995,0.2518,0.2076,0.1646,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.02054199999975,0.01215300000013,0.00765000000001,0.013964000000219998,0.01423799999974,0.02219800000011,0.024579999999780004,0.023891000000029996,0.02128899999979,0.02482200000031,0,0,0,0,0,0,0,0,0,0
